,utf,url,name
214,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
215,U+26c4,https://www.fileformat.info/info/unicode/char/26c4/snowman_without_snow.svg,:snowman_without_snow:
216,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
217,U+26cd,https://www.fileformat.info/info/unicode/char/26cd/disabled_car.svg,:disabled_car:
218,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
219,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
220,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
221,U+26c4,https://www.fileformat.info/info/unicode/char/26c4/snowman_without_snow.svg,:snowman_without_snow:
222,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
223,U+26c5,https://www.fileformat.info/info/unicode/char/26c5/sun_behind_cloud.svg,:sun_behind_cloud:
224,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
225,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
226,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
227,U+26c0,https://www.fileformat.info/info/unicode/char/26c0/white_draughts_man.svg,:white_draughts_man:
228,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
229,U+26c3,https://www.fileformat.info/info/unicode/char/26c3/black_draughts_king.svg,:black_draughts_king:
230,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
231,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
232,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
233,U+26bd,https://www.fileformat.info/info/unicode/char/26bd/soccer_ball.svg,:soccer_ball:
234,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
235,U+26bf,https://www.fileformat.info/info/unicode/char/26bf/squared_key.svg,:squared_key:
236,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
237,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
238,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
239,U+26bd,https://www.fileformat.info/info/unicode/char/26bd/soccer_ball.svg,:soccer_ball:
240,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
241,U+26be,https://www.fileformat.info/info/unicode/char/26be/baseball.svg,:baseball:
242,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
243,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
244,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
245,U+26b3,https://www.fileformat.info/info/unicode/char/26b3/ceres.svg,:ceres:
246,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
247,U+26bc,https://www.fileformat.info/info/unicode/char/26bc/sesquiquadrate.svg,:sesquiquadrate:
248,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
249,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
250,U+26b2,https://www.fileformat.info/info/unicode/char/26b2/neuter.svg,:neuter:
251,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
252,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
253,U+26b0,https://www.fileformat.info/info/unicode/char/26b0/coffin.svg,:coffin:
254,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
255,U+26b1,https://www.fileformat.info/info/unicode/char/26b1/funeral_urn.svg,:funeral_urn:
256,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
257,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
258,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
259,U+26aa,https://www.fileformat.info/info/unicode/char/26aa/medium_white_circle.svg,:medium_white_circle:
260,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
261,U+26ab,https://www.fileformat.info/info/unicode/char/26ab/medium_black_circle.svg,:medium_black_circle:
262,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
263,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
264,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
265,U+26a2,https://www.fileformat.info/info/unicode/char/26a2/doubled_female_sign.svg,:doubled_female_sign:
266,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
267,U+26b1,https://www.fileformat.info/info/unicode/char/26b1/funeral_urn.svg,:funeral_urn:
268,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
269,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
270,U+26a1,https://www.fileformat.info/info/unicode/char/26a1/high_voltage_sign.svg,:high_voltage_sign:
271,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
272,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
273,U+26a0,https://www.fileformat.info/info/unicode/char/26a0/warning_sign.svg,:warning_sign:
274,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
275,U+26a1,https://www.fileformat.info/info/unicode/char/26a1/high_voltage_sign.svg,:high_voltage_sign:
276,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
277,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
278,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
279,U+269e,https://www.fileformat.info/info/unicode/char/269e/three_lines_converging_right.svg,:three_lines_converging_right:
280,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
281,U+269f,https://www.fileformat.info/info/unicode/char/269f/three_lines_converging_left.svg,:three_lines_converging_left:
282,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
283,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
